Model,DPO2024B
Firmware Version,1.52

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,125000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Label,
TIME,CH1
-1.09746e-02,0.477391
-1.09744e-02,0.477172
-1.09742e-02,0.477359
-1.09741e-02,0.477766
-1.09739e-02,0.477953
-1.09738e-02,0.478297
-1.09736e-02,0.478047
-1.09734e-02,0.478078
-1.09733e-02,0.478
-1.09731e-02,0.478
-1.09730e-02,0.478
-1.09728e-02,0.478094
-1.09726e-02,0.478375
-1.09725e-02,0.478359
-1.09723e-02,0.478219
-1.09722e-02,0.478297
-1.09720e-02,0.478406
-1.09718e-02,0.478063
-1.09717e-02,0.478375
-1.09715e-02,0.478203
-1.09714e-02,0.478234
-1.09712e-02,0.478219
-1.09710e-02,0.477875
-1.09709e-02,0.477266
-1.09707e-02,0.477734
-1.09706e-02,0.477391
-1.09704e-02,0.477203
-1.09702e-02,0.4775
-1.09701e-02,0.477172
-1.09699e-02,0.47725
-1.09698e-02,0.477359
-1.09696e-02,0.477422
-1.09694e-02,0.477172
-1.09693e-02,0.477219
-1.09691e-02,0.477313
-1.09690e-02,0.477922
-1.09688e-02,0.477891
-1.09686e-02,0.477969
-1.09685e-02,0.478094
-1.09683e-02,0.478219
-1.09682e-02,0.478547
-1.09680e-02,0.478578
-1.09678e-02,0.478844
-1.09677e-02,0.478578
-1.09675e-02,0.478531
-1.09674e-02,0.478594
-1.09672e-02,0.478281
-1.09670e-02,0.478
-1.09669e-02,0.477969
-1.09667e-02,0.477938
-1.09666e-02,0.478078
-1.09664e-02,0.477984
-1.09662e-02,0.478078
-1.09661e-02,0.477672
-1.09659e-02,0.477922
-1.09658e-02,0.477766
-1.09656e-02,0.478359
-1.09654e-02,0.478063
-1.09653e-02,0.478406
-1.09651e-02,0.47825
-1.09650e-02,0.478672
-1.09648e-02,0.478766
-1.09646e-02,0.479031
-1.09645e-02,0.478703
-1.09643e-02,0.478328
-1.09642e-02,0.478406
-1.09640e-02,0.478703
-1.09638e-02,0.478875
-1.09637e-02,0.478672
-1.09635e-02,0.478031
-1.09634e-02,0.477953
-1.09632e-02,0.477813
-1.09630e-02,0.477578
-1.09629e-02,0.477469
-1.09627e-02,0.477281
-1.09626e-02,0.477859
-1.09624e-02,0.478313
-1.09622e-02,0.477844
-1.09621e-02,0.478031
-1.09619e-02,0.477828
-1.09618e-02,0.478
-1.09616e-02,0.478
-1.09614e-02,0.477953
-1.09613e-02,0.477844
-1.09611e-02,0.478234
-1.09610e-02,0.478516
-1.09608e-02,0.478672
-1.09606e-02,0.479297
-1.09605e-02,0.478922
-1.09603e-02,0.479234
-1.09602e-02,0.479219
-1.09600e-02,0.479281
-1.09598e-02,0.479688
-1.09597e-02,0.479609
-1.09595e-02,0.479609
-1.09594e-02,0.48
-1.09592e-02,0.48
-1.09590e-02,0.479578
-1.09589e-02,0.479281
-1.09587e-02,0.479047
-1.09586e-02,0.478844
-1.09584e-02,0.4785
-1.09582e-02,0.478719
-1.09581e-02,0.478563
-1.09579e-02,0.478656
-1.09578e-02,0.478531
-1.09576e-02,0.478938
-1.09574e-02,0.478891
-1.09573e-02,0.479047
-1.09571e-02,0.479
-1.09570e-02,0.478984
-1.09568e-02,0.478969
-1.09566e-02,0.479031
-1.09565e-02,0.478984
-1.09563e-02,0.478734
